molla,27,500.0
molla,110.0,0.0,110.0,0.0,0.0
molla,110.0,0.0,110.0,0.0,0.0
molla,10.0,100.0,0.0,0.0,0.0
molla,5.0,5.0,0.0,0.0,0.0
molla,805.0,0.0,800.0,0.0,0.0
molla,2405.0,0.0,0.0,0.0,1600.0
molla,110.0,0.0,110.0,0.0,0.0
molla,110.0,0.0,110.0,0.0,0.0
molla,10.0,100.0,0.0,0.0,0.0
molla,5.0,5.0,0.0,0.0,0.0
molla,805.0,0.0,800.0,0.0,0.0
molla,2405.0,0.0,0.0,0.0,1600.0
molla,405.0,0.0,0.0,2000.0,0.0
molla,110.0,0.0,110.0,0.0,0.0
molla,110.0,0.0,110.0,0.0,0.0
molla,10.0,100.0,0.0,0.0,0.0
molla,5.0,5.0,0.0,0.0,0.0
molla,805.0,0.0,800.0,0.0,0.0
molla,2405.0,0.0,0.0,0.0,1600.0
molla,110.0,0.0,110.0,0.0,0.0
molla,110.0,0.0,110.0,0.0,0.0
molla,10.0,100.0,0.0,0.0,0.0
molla,5.0,5.0,0.0,0.0,0.0
molla,805.0,0.0,800.0,0.0,0.0
molla,2405.0,0.0,0.0,0.0,1600.0
molla,405.0,0.0,0.0,2000.0,0.0
molla,415.0,0.0,0.0,0.0,10.0
molla,110.0,0.0,110.0,0.0,0.0
molla,110.0,0.0,110.0,0.0,0.0
molla,10.0,100.0,0.0,0.0,0.0
molla,5.0,5.0,0.0,0.0,0.0
molla,805.0,0.0,800.0,0.0,0.0
molla,2405.0,0.0,0.0,0.0,1600.0
molla,110.0,0.0,110.0,0.0,0.0
molla,110.0,0.0,110.0,0.0,0.0
molla,10.0,100.0,0.0,0.0,0.0
molla,5.0,5.0,0.0,0.0,0.0
molla,805.0,0.0,800.0,0.0,0.0
molla,2405.0,0.0,0.0,0.0,1600.0
molla,405.0,0.0,0.0,2000.0,0.0
molla,110.0,0.0,110.0,0.0,0.0
molla,110.0,0.0,110.0,0.0,0.0
molla,10.0,100.0,0.0,0.0,0.0
molla,5.0,5.0,0.0,0.0,0.0
molla,805.0,0.0,800.0,0.0,0.0
molla,2405.0,0.0,0.0,0.0,1600.0
molla,110.0,0.0,110.0,0.0,0.0
molla,110.0,0.0,110.0,0.0,0.0
molla,10.0,100.0,0.0,0.0,0.0
molla,5.0,5.0,0.0,0.0,0.0
molla,805.0,0.0,800.0,0.0,0.0
molla,2405.0,0.0,0.0,0.0,1600.0
molla,405.0,0.0,0.0,2000.0,0.0
molla,415.0,0.0,0.0,0.0,10.0
molla,515.0,0,100,0,0
molla,500.0,15,0,0,0
